dataset,filename,ita,category
fuseg,0073.png,10.67,Tan
fuseg,0074.png,-37.99,Dark
fuseg,0075.png,-85.18,Dark
fuseg,0076.png,-56.35,Dark
fuseg,0077.png,-72.74,Dark
fuseg,0080.png,-90.0,Dark
fuseg,0081.png,50.44,Light
fuseg,0083.png,-80.79,Dark
fuseg,0084.png,-52.95,Dark
fuseg,0086.png,-49.72,Dark
fuseg,0087.png,-83.41,Dark
fuseg,0088.png,-79.08,Dark
fuseg,0090.png,-70.98,Dark
fuseg,0091.png,-54.28,Dark
fuseg,0092.png,-63.59,Dark
fuseg,0093.png,-75.76,Dark
fuseg,0094.png,-52.71,Dark
fuseg,0095.png,3.85,Brown
fuseg,0097.png,-85.95,Dark
fuseg,0098.png,3.21,Brown
fuseg,0099.png,-57.62,Dark
fuseg,0100.png,-72.45,Dark
fuseg,0101.png,71.01,Very Light
fuseg,0102.png,-83.69,Dark
fuseg,0103.png,-85.92,Dark
fuseg,0104.png,-68.14,Dark
fuseg,0105.png,-85.37,Dark
fuseg,0106.png,-79.62,Dark
fuseg,0109.png,-75.12,Dark
fuseg,0110.png,-75.72,Dark
fuseg,0111.png,-77.2,Dark
fuseg,0112.png,-74.43,Dark
fuseg,0113.png,-53.06,Dark
fuseg,0114.png,-82.38,Dark
fuseg,0115.png,-84.7,Dark
fuseg,0116.png,-87.23,Dark
fuseg,0117.png,-37.79,Dark
fuseg,0118.png,22.46,Tan
fuseg,0119.png,-78.3,Dark
fuseg,0120.png,-83.75,Dark
fuseg,0121.png,-36.68,Dark
fuseg,0123.png,-77.32,Dark
fuseg,0125.png,-65.29,Dark
fuseg,0127.png,-43.14,Dark
fuseg,0129.png,-90.0,Dark
fuseg,0130.png,-75.53,Dark
fuseg,0131.png,-26.62,Brown
fuseg,0132.png,-13.23,Brown
fuseg,0135.png,46.8,Light
fuseg,0137.png,27.6,Tan
fuseg,0138.png,5.16,Brown
fuseg,0139.png,-80.95,Dark
fuseg,0140.png,-49.91,Dark
fuseg,0141.png,79.34,Very Light
fuseg,0142.png,-85.45,Dark
fuseg,0144.png,1.51,Brown
fuseg,0145.png,-78.61,Dark
fuseg,0147.png,66.78,Very Light
fuseg,0148.png,-79.51,Dark
fuseg,0149.png,-74.35,Dark
fuseg,0150.png,-79.52,Dark
fuseg,0151.png,-79.08,Dark
fuseg,0152.png,-64.52,Dark
fuseg,0153.png,-74.23,Dark
fuseg,0154.png,77.0,Very Light
fuseg,0155.png,-46.11,Dark
fuseg,0156.png,9.17,Brown
fuseg,0157.png,-87.97,Dark
fuseg,0158.png,72.59,Very Light
fuseg,0159.png,-79.11,Dark
fuseg,0160.png,-85.97,Dark
fuseg,0161.png,-84.31,Dark
fuseg,0162.png,-87.73,Dark
fuseg,0163.png,-84.68,Dark
fuseg,0165.png,-4.53,Brown
fuseg,0166.png,-77.01,Dark
fuseg,0167.png,-82.54,Dark
fuseg,0168.png,-76.95,Dark
fuseg,0169.png,-63.26,Dark
fuseg,0170.png,-90.0,Dark
fuseg,0171.png,41.94,Light
fuseg,0172.png,-80.25,Dark
fuseg,0173.png,-86.1,Dark
fuseg,0174.png,-78.84,Dark
fuseg,0175.png,90.0,Very Light
fuseg,0176.png,-85.07,Dark
fuseg,0178.png,-59.75,Dark
fuseg,0179.png,-83.38,Dark
fuseg,0181.png,-83.54,Dark
fuseg,0182.png,-48.62,Dark
fuseg,0183.png,-61.53,Dark
fuseg,0184.png,78.92,Very Light
fuseg,0185.png,-90.0,Dark
fuseg,0186.png,-73.88,Dark
fuseg,0187.png,-82.82,Dark
fuseg,0188.png,-84.49,Dark
fuseg,0189.png,-35.02,Dark
fuseg,0191.png,49.21,Light
fuseg,0193.png,9.75,Brown
fuseg,0194.png,-58.2,Dark
fuseg,0195.png,-4.85,Brown
fuseg,0196.png,-62.72,Dark
fuseg,0197.png,-85.1,Dark
fuseg,0198.png,-90.0,Dark
fuseg,0199.png,-60.26,Dark
fuseg,0200.png,-80.21,Dark
fuseg,0202.png,26.5,Tan
fuseg,0204.png,-80.83,Dark
fuseg,0205.png,-19.39,Brown
fuseg,0206.png,-66.74,Dark
fuseg,0207.png,-75.85,Dark
fuseg,0209.png,-19.01,Brown
fuseg,0210.png,-75.55,Dark
fuseg,0212.png,-40.84,Dark
fuseg,0214.png,-84.91,Dark
fuseg,0215.png,-55.93,Dark
fuseg,0216.png,-71.57,Dark
fuseg,0218.png,70.41,Very Light
fuseg,0219.png,-80.7,Dark
fuseg,0220.png,21.01,Tan
fuseg,0221.png,78.87,Very Light
fuseg,0222.png,-80.04,Dark
fuseg,0223.png,-77.6,Dark
fuseg,0224.png,-79.79,Dark
fuseg,0225.png,1.44,Brown
fuseg,0226.png,-37.63,Dark
fuseg,0227.png,-31.28,Dark
fuseg,0228.png,-80.24,Dark
fuseg,0229.png,-77.65,Dark
fuseg,0230.png,-68.49,Dark
fuseg,0231.png,-16.36,Brown
fuseg,0232.png,-68.43,Dark
fuseg,0234.png,-74.72,Dark
fuseg,0236.png,-13.15,Brown
fuseg,0237.png,-55.04,Dark
fuseg,0238.png,-65.82,Dark
fuseg,0239.png,-67.21,Dark
fuseg,0240.png,-54.84,Dark
fuseg,0241.png,83.07,Very Light
fuseg,0242.png,-70.66,Dark
fuseg,0243.png,-90.0,Dark
fuseg,0244.png,-79.88,Dark
fuseg,0246.png,-88.78,Dark
fuseg,0247.png,73.42,Very Light
fuseg,0248.png,-79.16,Dark
fuseg,0249.png,-52.27,Dark
fuseg,0250.png,-55.04,Dark
fuseg,0252.png,-53.91,Dark
fuseg,0253.png,-82.68,Dark
fuseg,0254.png,-85.29,Dark
fuseg,0255.png,-75.43,Dark
fuseg,0257.png,-79.35,Dark
fuseg,0258.png,-24.91,Brown
fuseg,0260.png,-38.31,Dark
fuseg,0261.png,-73.72,Dark
fuseg,0263.png,-76.7,Dark
fuseg,0264.png,-45.55,Dark
fuseg,0265.png,-43.49,Dark
fuseg,0266.png,76.18,Very Light
fuseg,0267.png,-81.36,Dark
fuseg,0268.png,-78.47,Dark
fuseg,0269.png,42.16,Light
fuseg,0270.png,-80.1,Dark
fuseg,0271.png,-25.74,Brown
fuseg,0272.png,-52.09,Dark
fuseg,0273.png,38.67,Intermediate
fuseg,0274.png,-83.82,Dark
fuseg,0275.png,-75.99,Dark
fuseg,0277.png,-65.79,Dark
fuseg,0279.png,-83.4,Dark
fuseg,0280.png,-87.18,Dark
fuseg,0281.png,-22.54,Brown
fuseg,0282.png,-84.69,Dark
fuseg,0283.png,-44.64,Dark
fuseg,0285.png,-81.49,Dark
fuseg,0286.png,-77.07,Dark
fuseg,0287.png,-71.27,Dark
fuseg,0288.png,-55.79,Dark
fuseg,0290.png,-56.42,Dark
fuseg,0292.png,-85.04,Dark
fuseg,0293.png,81.49,Very Light
fuseg,0294.png,-60.35,Dark
fuseg,0295.png,-73.11,Dark
fuseg,0296.png,-73.4,Dark
fuseg,0297.png,-76.78,Dark
fuseg,0298.png,-73.5,Dark
fuseg,0299.png,-87.44,Dark
fuseg,0302.png,-9.29,Brown
fuseg,0304.png,-16.48,Brown
fuseg,0305.png,-31.1,Dark
fuseg,0306.png,-80.59,Dark
fuseg,0307.png,-86.69,Dark
fuseg,0308.png,-84.55,Dark
fuseg,0309.png,-24.96,Brown
fuseg,0310.png,-39.5,Dark
fuseg,0311.png,-72.27,Dark
fuseg,0312.png,-81.99,Dark
fuseg,0313.png,-72.59,Dark
fuseg,0314.png,-74.48,Dark
fuseg,0315.png,-61.91,Dark
fuseg,0316.png,-82.22,Dark
fuseg,0317.png,-81.77,Dark
fuseg,0318.png,-54.29,Dark
fuseg,0319.png,-75.85,Dark
fuseg,0320.png,-80.22,Dark
fuseg,0321.png,-75.66,Dark
fuseg,0323.png,-67.67,Dark
fuseg,0324.png,-83.75,Dark
fuseg,0325.png,-83.21,Dark
fuseg,0327.png,-82.37,Dark
fuseg,0328.png,-79.75,Dark
fuseg,0329.png,-76.59,Dark
fuseg,0330.png,-44.19,Dark
fuseg,0331.png,-42.56,Dark
fuseg,0332.png,-84.04,Dark
fuseg,0333.png,-54.83,Dark
fuseg,0335.png,-63.59,Dark
fuseg,0336.png,-61.47,Dark
fuseg,0338.png,-73.77,Dark
fuseg,0340.png,-90.0,Dark
fuseg,0342.png,-84.04,Dark
fuseg,0343.png,-57.41,Dark
fuseg,0344.png,-84.69,Dark
fuseg,0345.png,-87.63,Dark
fuseg,0346.png,-82.99,Dark
fuseg,0347.png,-59.19,Dark
fuseg,0348.png,-64.01,Dark
fuseg,0350.png,-41.95,Dark
fuseg,0351.png,-81.16,Dark
fuseg,0352.png,77.69,Very Light
fuseg,0353.png,-12.47,Brown
fuseg,0354.png,-79.68,Dark
fuseg,0357.png,-49.4,Dark
fuseg,0358.png,-64.15,Dark
fuseg,0359.png,-69.45,Dark
fuseg,0360.png,81.73,Very Light
fuseg,0361.png,-69.83,Dark
fuseg,0362.png,-75.43,Dark
fuseg,0364.png,-90.0,Dark
fuseg,0366.png,-60.26,Dark
fuseg,0367.png,1.71,Brown
fuseg,0368.png,-79.6,Dark
fuseg,0370.png,-66.06,Dark
fuseg,0371.png,90.0,Very Light
fuseg,0372.png,-58.44,Dark
fuseg,0373.png,59.52,Very Light
fuseg,0374.png,-51.7,Dark
fuseg,0377.png,32.05,Intermediate
fuseg,0378.png,-34.98,Dark
fuseg,0379.png,-57.18,Dark
fuseg,0380.png,-80.86,Dark
fuseg,0381.png,-78.18,Dark
fuseg,0383.png,-14.03,Brown
fuseg,0384.png,38.25,Intermediate
fuseg,0385.png,-87.35,Dark
fuseg,0386.png,-77.21,Dark
fuseg,0387.png,-81.54,Dark
fuseg,0388.png,-55.79,Dark
fuseg,0389.png,-82.34,Dark
fuseg,0391.png,-90.0,Dark
fuseg,0392.png,-37.49,Dark
fuseg,0393.png,-77.82,Dark
fuseg,0394.png,3.03,Brown
fuseg,0395.png,-90.0,Dark
fuseg,0396.png,-82.58,Dark
fuseg,0397.png,-65.98,Dark
fuseg,0399.png,-81.39,Dark
fuseg,0400.png,-50.03,Dark
fuseg,0401.png,-11.89,Brown
fuseg,0402.png,-29.47,Brown
fuseg,0403.png,49.81,Light
fuseg,0404.png,-74.25,Dark
fuseg,0406.png,51.96,Light
fuseg,0408.png,-17.63,Brown
fuseg,0409.png,-77.22,Dark
fuseg,0410.png,50.68,Light
fuseg,0411.png,-79.79,Dark
fuseg,0413.png,2.89,Brown
fuseg,0414.png,-82.55,Dark
fuseg,0415.png,-54.34,Dark
fuseg,0418.png,-33.63,Dark
fuseg,0419.png,-78.16,Dark
fuseg,0420.png,42.97,Light
fuseg,0421.png,-69.9,Dark
fuseg,0422.png,60.25,Very Light
fuseg,0423.png,-9.56,Brown
fuseg,0424.png,-90.0,Dark
fuseg,0425.png,-86.12,Dark
fuseg,0426.png,-61.05,Dark
fuseg,0427.png,-61.49,Dark
fuseg,0428.png,-13.57,Brown
fuseg,0430.png,56.87,Very Light
fuseg,0431.png,-65.06,Dark
fuseg,0432.png,-65.06,Dark
fuseg,0433.png,-88.13,Dark
fuseg,0434.png,-64.25,Dark
fuseg,0435.png,-54.26,Dark
fuseg,0436.png,61.33,Very Light
fuseg,0440.png,-84.6,Dark
fuseg,0441.png,31.08,Intermediate
fuseg,0442.png,-78.37,Dark
fuseg,0443.png,-57.03,Dark
fuseg,0444.png,-70.78,Dark
fuseg,0445.png,-83.77,Dark
fuseg,0446.png,-85.4,Dark
fuseg,0448.png,-85.04,Dark
fuseg,0449.png,90.0,Very Light
fuseg,0452.png,-23.88,Brown
fuseg,0453.png,-83.18,Dark
fuseg,0454.png,67.06,Very Light
fuseg,0455.png,-87.45,Dark
fuseg,0457.png,-57.55,Dark
fuseg,0458.png,-90.0,Dark
fuseg,0459.png,-72.85,Dark
fuseg,0460.png,-90.0,Dark
fuseg,0461.png,-74.3,Dark
fuseg,0462.png,-82.53,Dark
fuseg,0463.png,-44.13,Dark
fuseg,0464.png,64.15,Very Light
fuseg,0465.png,-55.49,Dark
fuseg,0467.png,-81.99,Dark
fuseg,0468.png,-59.91,Dark
fuseg,0469.png,-3.27,Brown
fuseg,0471.png,-84.47,Dark
fuseg,0472.png,-90.0,Dark
fuseg,0473.png,-89.93,Dark
fuseg,0474.png,-83.65,Dark
fuseg,0476.png,-73.74,Dark
fuseg,0477.png,-74.01,Dark
fuseg,0478.png,-85.84,Dark
fuseg,0479.png,-23.67,Brown
fuseg,0480.png,-85.95,Dark
fuseg,0481.png,-85.53,Dark
fuseg,0482.png,-84.4,Dark
fuseg,0484.png,-62.88,Dark
fuseg,0486.png,-65.97,Dark
fuseg,0487.png,-84.4,Dark
fuseg,0488.png,-75.68,Dark
fuseg,0489.png,-37.94,Dark
fuseg,0490.png,-27.06,Brown
fuseg,0491.png,-75.23,Dark
fuseg,0492.png,-77.0,Dark
fuseg,0493.png,-90.0,Dark
fuseg,0495.png,-70.04,Dark
fuseg,0497.png,84.88,Very Light
fuseg,0498.png,-9.0,Brown
fuseg,0499.png,-60.02,Dark
fuseg,0500.png,-62.76,Dark
fuseg,0501.png,79.57,Very Light
fuseg,0502.png,-87.17,Dark
fuseg,0505.png,-74.25,Dark
fuseg,0506.png,79.43,Very Light
fuseg,0507.png,-82.52,Dark
fuseg,0508.png,-75.37,Dark
fuseg,0509.png,-61.82,Dark
fuseg,0510.png,-85.13,Dark
fuseg,0512.png,17.91,Tan
fuseg,0513.png,-87.81,Dark
fuseg,0514.png,-66.44,Dark
fuseg,0515.png,60.67,Very Light
fuseg,0518.png,-2.44,Brown
fuseg,0519.png,-69.89,Dark
fuseg,0520.png,-85.11,Dark
fuseg,0521.png,-85.63,Dark
fuseg,0522.png,-50.77,Dark
fuseg,0523.png,-30.37,Dark
fuseg,0524.png,22.12,Tan
fuseg,0526.png,-78.16,Dark
fuseg,0527.png,-82.13,Dark
fuseg,0529.png,-77.24,Dark
fuseg,0530.png,-87.36,Dark
fuseg,0531.png,-68.01,Dark
fuseg,0532.png,-39.99,Dark
fuseg,0534.png,57.08,Very Light
fuseg,0535.png,-83.63,Dark
fuseg,0536.png,-80.55,Dark
fuseg,0537.png,-63.05,Dark
fuseg,0538.png,-52.01,Dark
fuseg,0539.png,-5.93,Brown
fuseg,0540.png,-52.07,Dark
fuseg,0542.png,-77.46,Dark
fuseg,0544.png,-43.7,Dark
fuseg,0546.png,-88.82,Dark
fuseg,0547.png,-31.78,Dark
fuseg,0550.png,-31.29,Dark
fuseg,0551.png,22.54,Tan
fuseg,0552.png,-78.01,Dark
fuseg,0553.png,-69.03,Dark
fuseg,0554.png,-78.6,Dark
fuseg,0555.png,29.49,Intermediate
fuseg,0556.png,-68.09,Dark
fuseg,0558.png,-89.57,Dark
fuseg,0560.png,-85.92,Dark
fuseg,0561.png,-79.48,Dark
fuseg,0562.png,-84.65,Dark
fuseg,0563.png,-8.69,Brown
fuseg,0564.png,-68.09,Dark
fuseg,0567.png,-78.71,Dark
fuseg,0568.png,-90.0,Dark
fuseg,0569.png,-61.16,Dark
fuseg,0570.png,-83.03,Dark
fuseg,0572.png,-61.0,Dark
fuseg,0573.png,-16.87,Brown
fuseg,0574.png,-85.95,Dark
fuseg,0575.png,-65.3,Dark
fuseg,0576.png,23.34,Tan
fuseg,0578.png,-82.62,Dark
fuseg,0579.png,-68.37,Dark
fuseg,0581.png,-84.96,Dark
fuseg,0583.png,-28.75,Brown
fuseg,0584.png,-80.23,Dark
fuseg,0585.png,-81.74,Dark
fuseg,0586.png,-90.0,Dark
fuseg,0587.png,-51.43,Dark
fuseg,0589.png,-87.66,Dark
fuseg,0590.png,-77.96,Dark
fuseg,0592.png,-89.19,Dark
fuseg,0593.png,-77.65,Dark
fuseg,0594.png,-85.13,Dark
fuseg,0595.png,-73.49,Dark
fuseg,0596.png,-81.47,Dark
fuseg,0597.png,65.27,Very Light
fuseg,0598.png,-62.58,Dark
fuseg,0599.png,9.6,Brown
fuseg,0600.png,-61.68,Dark
fuseg,0601.png,67.9,Very Light
fuseg,0602.png,-52.3,Dark
fuseg,0605.png,-70.04,Dark
fuseg,0606.png,-49.64,Dark
fuseg,0608.png,-90.0,Dark
fuseg,0609.png,52.23,Light
fuseg,0610.png,-74.7,Dark
fuseg,0611.png,-67.1,Dark
fuseg,0613.png,-62.9,Dark
fuseg,0614.png,-49.63,Dark
fuseg,0617.png,-19.03,Brown
fuseg,0618.png,-62.27,Dark
fuseg,0619.png,-78.08,Dark
fuseg,0620.png,-84.26,Dark
fuseg,0621.png,19.67,Tan
fuseg,0622.png,-63.67,Dark
fuseg,0623.png,-13.57,Brown
fuseg,0624.png,-85.03,Dark
fuseg,0625.png,-57.41,Dark
fuseg,0626.png,-66.01,Dark
fuseg,0628.png,-6.41,Brown
fuseg,0629.png,-78.55,Dark
fuseg,0630.png,-86.45,Dark
fuseg,0631.png,-53.17,Dark
fuseg,0632.png,-85.59,Dark
fuseg,0633.png,-54.9,Dark
fuseg,0634.png,69.2,Very Light
fuseg,0635.png,-83.42,Dark
fuseg,0636.png,-80.02,Dark
fuseg,0637.png,-53.05,Dark
fuseg,0639.png,-75.38,Dark
fuseg,0640.png,-63.16,Dark
fuseg,0641.png,-28.8,Brown
fuseg,0643.png,-81.84,Dark
fuseg,0645.png,-70.79,Dark
fuseg,0646.png,-88.89,Dark
fuseg,0648.png,49.86,Light
fuseg,0649.png,-84.54,Dark
fuseg,0650.png,51.8,Light
fuseg,0653.png,29.72,Intermediate
fuseg,0654.png,-60.71,Dark
fuseg,0655.png,-78.76,Dark
fuseg,0656.png,-79.14,Dark
fuseg,0658.png,-80.65,Dark
fuseg,0659.png,-16.87,Brown
fuseg,0660.png,-63.67,Dark
fuseg,0661.png,-81.59,Dark
fuseg,0662.png,-60.63,Dark
fuseg,0663.png,46.93,Light
fuseg,0664.png,21.09,Tan
fuseg,0665.png,-70.37,Dark
fuseg,0666.png,-60.03,Dark
fuseg,0667.png,-82.51,Dark
fuseg,0668.png,-87.92,Dark
fuseg,0669.png,-4.7,Brown
fuseg,0670.png,-42.75,Dark
fuseg,0671.png,-23.44,Brown
fuseg,0672.png,-21.26,Brown
fuseg,0673.png,-90.0,Dark
fuseg,0675.png,34.1,Intermediate
fuseg,0676.png,-77.24,Dark
fuseg,0677.png,-81.85,Dark
fuseg,0678.png,-46.41,Dark
fuseg,0680.png,-84.45,Dark
fuseg,0681.png,59.35,Very Light
fuseg,0683.png,-37.66,Dark
fuseg,0684.png,-55.25,Dark
fuseg,0685.png,-82.01,Dark
fuseg,0686.png,85.76,Very Light
fuseg,0687.png,-78.15,Dark
fuseg,0688.png,-18.92,Brown
fuseg,0689.png,-75.23,Dark
fuseg,0690.png,-69.83,Dark
fuseg,0691.png,-45.31,Dark
fuseg,0692.png,-88.08,Dark
fuseg,0693.png,-80.89,Dark
fuseg,0694.png,-40.06,Dark
fuseg,0695.png,1.97,Brown
fuseg,0696.png,-74.51,Dark
fuseg,0697.png,-59.03,Dark
fuseg,0698.png,-39.76,Dark
fuseg,0699.png,90.0,Very Light
fuseg,0700.png,39.2,Intermediate
fuseg,0701.png,-47.64,Dark
fuseg,0702.png,-83.73,Dark
fuseg,0703.png,-24.27,Brown
fuseg,0704.png,-90.0,Dark
fuseg,0705.png,-90.0,Dark
fuseg,0707.png,56.67,Very Light
fuseg,0708.png,-87.67,Dark
fuseg,0709.png,-55.08,Dark
fuseg,0710.png,-43.45,Dark
fuseg,0711.png,-35.15,Dark
fuseg,0713.png,-75.22,Dark
fuseg,0714.png,-2.93,Brown
fuseg,0716.png,-78.32,Dark
fuseg,0718.png,90.0,Very Light
fuseg,0719.png,-84.99,Dark
fuseg,0720.png,-79.71,Dark
fuseg,0722.png,-85.72,Dark
fuseg,0723.png,-89.6,Dark
fuseg,0724.png,-62.56,Dark
fuseg,0725.png,29.35,Intermediate
fuseg,0726.png,-70.66,Dark
fuseg,0727.png,-72.62,Dark
fuseg,0731.png,-16.09,Brown
fuseg,0732.png,66.91,Very Light
fuseg,0733.png,-56.37,Dark
fuseg,0734.png,-69.2,Dark
fuseg,0735.png,-74.96,Dark
fuseg,0736.png,-80.96,Dark
fuseg,0737.png,-57.76,Dark
fuseg,0739.png,-65.48,Dark
fuseg,0740.png,-86.88,Dark
fuseg,0741.png,-62.74,Dark
fuseg,0742.png,-72.53,Dark
fuseg,0743.png,-77.28,Dark
fuseg,0744.png,-75.34,Dark
fuseg,0746.png,-82.5,Dark
fuseg,0747.png,-64.68,Dark
fuseg,0748.png,-2.47,Brown
fuseg,0749.png,-73.48,Dark
fuseg,0750.png,-48.44,Dark
fuseg,0751.png,-72.66,Dark
fuseg,0752.png,-74.39,Dark
fuseg,0753.png,83.77,Very Light
fuseg,0754.png,-49.05,Dark
fuseg,0755.png,-69.44,Dark
fuseg,0756.png,-64.02,Dark
fuseg,0758.png,-60.04,Dark
fuseg,0759.png,-69.68,Dark
fuseg,0760.png,-74.17,Dark
fuseg,0761.png,-69.1,Dark
fuseg,0762.png,-89.43,Dark
fuseg,0764.png,-81.07,Dark
fuseg,0765.png,-86.75,Dark
fuseg,0766.png,81.68,Very Light
fuseg,0767.png,-86.46,Dark
fuseg,0768.png,-66.75,Dark
fuseg,0769.png,-85.53,Dark
fuseg,0770.png,-62.03,Dark
fuseg,0771.png,-85.23,Dark
fuseg,0772.png,-59.82,Dark
fuseg,0773.png,-77.46,Dark
fuseg,0774.png,-88.87,Dark
fuseg,0775.png,-83.5,Dark
fuseg,0776.png,-89.19,Dark
fuseg,0777.png,-87.75,Dark
fuseg,0778.png,-81.93,Dark
fuseg,0779.png,-86.86,Dark
fuseg,0780.png,-79.52,Dark
fuseg,0782.png,-87.49,Dark
fuseg,0783.png,-86.64,Dark
fuseg,0784.png,-81.58,Dark
fuseg,0785.png,-80.27,Dark
fuseg,0786.png,-47.18,Dark
fuseg,0787.png,-59.89,Dark
fuseg,0788.png,84.43,Very Light
fuseg,0789.png,-84.75,Dark
fuseg,0790.png,-34.25,Dark
fuseg,0791.png,-89.24,Dark
fuseg,0792.png,-56.67,Dark
fuseg,0793.png,54.43,Light
fuseg,0794.png,-68.38,Dark
fuseg,0795.png,-78.92,Dark
fuseg,0797.png,-27.02,Brown
fuseg,0799.png,-90.0,Dark
fuseg,0800.png,-77.37,Dark
fuseg,0801.png,-40.99,Dark
fuseg,0803.png,18.3,Tan
fuseg,0804.png,-80.76,Dark
fuseg,0805.png,-70.47,Dark
fuseg,0807.png,-65.22,Dark
fuseg,0808.png,-84.36,Dark
fuseg,0810.png,59.33,Very Light
fuseg,0811.png,84.39,Very Light
fuseg,0812.png,-77.9,Dark
fuseg,0814.png,-80.35,Dark
fuseg,0815.png,-75.33,Dark
fuseg,0817.png,0.26,Brown
fuseg,0818.png,-58.48,Dark
fuseg,0819.png,67.6,Very Light
fuseg,0821.png,-43.87,Dark
fuseg,0822.png,18.66,Tan
fuseg,0823.png,-71.81,Dark
fuseg,0825.png,-13.23,Brown
fuseg,0826.png,-60.87,Dark
fuseg,0827.png,-73.07,Dark
fuseg,0828.png,16.06,Tan
fuseg,0829.png,69.55,Very Light
fuseg,0831.png,-67.8,Dark
fuseg,0832.png,41.25,Light
fuseg,0836.png,-63.15,Dark
fuseg,0837.png,73.7,Very Light
fuseg,0838.png,-90.0,Dark
fuseg,0839.png,-10.55,Brown
fuseg,0840.png,56.98,Very Light
fuseg,0841.png,-87.77,Dark
fuseg,0843.png,-89.92,Dark
fuseg,0844.png,-87.8,Dark
fuseg,0845.png,-88.52,Dark
fuseg,0846.png,-85.36,Dark
fuseg,0848.png,-90.0,Dark
fuseg,0850.png,-90.0,Dark
fuseg,0851.png,-76.89,Dark
fuseg,0852.png,-42.1,Dark
fuseg,0853.png,-81.64,Dark
fuseg,0854.png,52.22,Light
fuseg,0855.png,-85.01,Dark
fuseg,0856.png,-73.81,Dark
fuseg,0857.png,73.23,Very Light
fuseg,0858.png,-63.01,Dark
fuseg,0859.png,-90.0,Dark
fuseg,0860.png,-90.0,Dark
fuseg,0861.png,85.82,Very Light
fuseg,0862.png,-84.06,Dark
fuseg,0863.png,-72.15,Dark
fuseg,0864.png,-33.54,Dark
fuseg,0866.png,-84.2,Dark
fuseg,0868.png,-73.34,Dark
fuseg,0870.png,-73.72,Dark
fuseg,0871.png,-69.25,Dark
fuseg,0872.png,-88.72,Dark
fuseg,0873.png,-82.81,Dark
fuseg,0875.png,-76.58,Dark
fuseg,0876.png,-44.95,Dark
fuseg,0877.png,-83.02,Dark
fuseg,0878.png,-90.0,Dark
fuseg,0879.png,-85.91,Dark
fuseg,0882.png,-78.04,Dark
fuseg,0883.png,56.71,Very Light
fuseg,0884.png,-26.68,Brown
fuseg,0885.png,-89.44,Dark
fuseg,0886.png,-36.88,Dark
fuseg,0888.png,-86.36,Dark
fuseg,0889.png,-77.21,Dark
fuseg,0890.png,-58.84,Dark
fuseg,0891.png,27.3,Tan
fuseg,0892.png,-81.39,Dark
fuseg,0893.png,-73.62,Dark
fuseg,0894.png,-77.31,Dark
fuseg,0895.png,-79.35,Dark
fuseg,0896.png,70.82,Very Light
fuseg,0897.png,-69.33,Dark
fuseg,0898.png,-52.85,Dark
fuseg,0899.png,70.71,Very Light
fuseg,0902.png,-65.61,Dark
fuseg,0903.png,-82.71,Dark
fuseg,0907.png,-82.27,Dark
fuseg,0908.png,-82.8,Dark
fuseg,0909.png,-74.15,Dark
fuseg,0910.png,-77.8,Dark
fuseg,0911.png,-81.17,Dark
fuseg,0912.png,-70.45,Dark
fuseg,0913.png,-72.12,Dark
fuseg,0914.png,-22.01,Brown
fuseg,0915.png,-80.75,Dark
fuseg,0916.png,-63.76,Dark
fuseg,0917.png,-87.57,Dark
fuseg,0918.png,-86.05,Dark
